id,tweet,language
1.41746675782917E+018,"AAP MP @SanjayAzadSln attacks Modi Govt on #PegasusSnoopgate Scandal‼️  ""मुझे उस समय भी हैरानी हुई थी कैसे CJI ने Rafale मामले में Clean Chit दे दी।  अब पूरे मामले की Chronology समझ में आ रही है!""  https://t.co/cUVcYHShEZ",und
1.41713219894831E+018,"पहले मनमोहन सिंह जी के bathroom मे झांकता था, अब पत्रकारों के। Journalist/politician targeted by #PegasusProject  #PegasusSnoopgate  https://t.co/Wsw52r6DnA",und
1.41756265158078E+018,@ShobhnaYadava Ohhh good . One lapdog journalist has some balls to ay least tweet . Good to hear that . @ABPNews  After this tweet check your phone #PegasusSnoopgate,en
1.41696983592646E+018,"@RupeshKSingh85 रूपेश बाबू - ठीक कहा: लिखेंगे, लड़ेंगे व जीतेंगे. छोटे शहरों में रहने वाले हिन्दी पत्रकार ही ऐसा लिखेंगे, ऐसे लड़ेंगे और जीतेंगे. #Pegasus #PegasusSnoopgate",hi
1.41777685528585E+018,Excellent Thread on the Drama of so called #PegasusSnoopgate  and the why the James Bond story written by @jslaternyc need to be debunked and send it to TRASH CAN  @CharanProNamo,en
1.41714657641008E+018,@shriadhar_ada रेनकोट पहने हुए लोगो को बाथरूम में नहाते हुए देखना 😊  #PegasusSnoopgate,hi
1.42106465637063E+018,It'll be exciting to see Modi getting played 🤭😂 #PegasusSnoopgate,en
1.41738670386667E+018,Simple question. Imagine there's 100 phone numbers in a list and you test using forensic on 25 phones(coz only they're available) and find that these 25 have been spied on. What will your conclusion will be?  #PegasusProject #PegasusSnoopgate,en
1.41746867614439E+018,@LOC_bbk @AstroD98102126 @Hisamud47588796 @Gajendr16916843 @hisamuddink51 @Sony24858301 @RamaSin24298825 @anamikaa_143 @SadiqMo12884882 @RajivSi45818862 @bhootsanjay1 @airwarriorUKB @onkargss11 @AtifMaaz17 @SavitaSikarwar @AnilKum04619533 @SunilMe24609328 @SanjayP46456817 @Shambhu28088342 @RajeshS50119232 @OiiEq8i4PI9szGv @Prabhat39441267 @RuhulHashmat @DeepakS78773518 @BPPDELNP @PremBakshi10 @JangliRaja @MehmoodAlamSid2 @Ayaaniqbal17 @uHI8qm0CD5FpL3f @DhairayJ @vishvmtrjatav @HashmatRuhul @GT93868355 @NextEnvision @parmodpahwaInd @DevalDublish1 @ROVEE8 @BabluSangwan8 @AdityaSigh7 @RameshS05611011 @BramhRakshas @arifms1971 @Raju_464 @ArvindMaurya_ @ManojJa37766871 @RahulGandhi @narendramodi @_Mahakal_D_ #भारतीय_जासूस_पार्टी  #भारतीय_जासूस_पार्टी  #भारतीय_जासूस_पार्टी   #PegasusSnoopgate  #PegasusSnoopgate #PegasusSnoopgate,und
1.41695988093876E+018,"@rohini_sgh This #PegasusSnoopgate has sent more chilling pain to bureaucrats, media houses, journalists close to Modi &amp;Shah who have been working for them for years. Critics, activists and opposition leaders knew this snooping possibility very well.   https://t.co/icfOslQiRF",en
1.42026983123703E+018,He is the Chairperson of the Standing Committee on Information Technology which means his words on #PegasusSnoopgate carry weight,en
1.41747006725265E+018,@Hisamud47588796 @airwarriorUKB @anvi_rks @Gajendr16916843 @hisamuddink51 @Sony24858301 @RamaSin24298825 @anamikaa_143 @SadiqMo12884882 @RajivSi45818862 @bhootsanjay1 @onkargss11 @AtifMaaz17 @SavitaSikarwar @AnilKum04619533 @SunilMe24609328 @SanjayP46456817 @Shambhu28088342 @RajeshS50119232 @OiiEq8i4PI9szGv @Prabhat39441267 @LOC_bbk @RuhulHashmat @DeepakS78773518 @BPPDELNP @PremBakshi10 @JangliRaja @MehmoodAlamSid2 @Ayaaniqbal17 @uHI8qm0CD5FpL3f @DhairayJ @vishvmtrjatav @HashmatRuhul @GT93868355 @NextEnvision @parmodpahwaInd @DevalDublish1 @ROVEE8 @BabluSangwan8 @AdityaSigh7 @RameshS05611011 @BramhRakshas @arifms1971 @Raju_464 @ArvindMaurya_ @ManojJa37766871 @RahulGandhi @narendramodi @_Mahakal_D_ #PegasusSnoopgate #भारतीय_जासूस_पार्टी #BhartiyaJasoosParty,und
1.41844423334675E+018,"जब जब सरकार की बदनामी होती है तब तब पाकिस्तान से हमला या ड्रोन आ जाते उडकर ,  जनता सब समझती हैं मुद्दों से भाग नही सकती सरकार!  #DainikBhaskar  #PegasusSnoopgate  #KisanSansad",hi
1.41876129208136E+018,जासूसी ही करनी थी तो 300 Kg RDX की जासूसी करता..  40 जवानों की जान बच जाती..!!! जासूसी ही करनी थी नक्सल वादियों को करते  22 जवानों की जान बच जाती... !!! #PegasusSnoopgate,hi
1.41732358042194E+018,जासूसी सॉफ्टवेयर का इस्तेमाल देश की सुरक्षा में लगाते तो पुलवामा न हुआ होता। लेकिन इन्हें तो देश से ज्यादा अपनी कुर्सी की सुरक्षा की चिंता थी। #PegasusSnoopgate,hi
1.41895570210673E+018,"जासूसी कांड कोई नीति या नियम नहीं है, जिसके लिए वाद-विवाद होना चाहिए। इस पर जांच होनी चाहिए - @SupriyaShrinate   मोदी सरकार का बस एक ही नियम है - ना कोई जांच, ना कोई घोटाला, न कोई अपराध  #PegasusSnoopgate #Pegasus  https://t.co/J9IdpZpNJC",hi
1.4189609487575E+018,"Please Remember... If this is affecting journalists all around the world, this is affecting human rights defenders all around the world, that affects us all. And if anyone's phone is not secured that means everyone's phone is not secure.  #Pegasus  #PegasusSnoopgate  https://t.co/kkaJlsq9KN",en
1.42019893335199E+018,"Protest, as we have seen from Belarus to Hong Kong, often becomes ineffective. Huge numbers take to the streets, pull the lever of democratic moral authority that has toppled so many regimes in the past, and nothing happens. #PegasusSpyware #PegasusSnoopgate",en
1.41710935553976E+018,"More than Motivated Journalists &amp; Tukde Tukde Gang cheerleades, its the Fact checking propagandists who needs to be snooped upon for their suspicious acts &amp; motives.  #GodiMedia #PegasusSnoopgate #PegasusProject #PegasusSpyware #Pegasusgate",en
1.41748844823204E+018,"I think, #Indian office of #Amnestyinternational in #Delhi is already sealed, bank account frozen #Pegasus #PegasusSnoopgate",en
1.41817344186203E+018,"@Samriddhi0809 @loganathan_raji @TheLeaflet_in Better to remove twitter from your phone if you have, and use twitter web to see those messages.   #PegasusSnoopgate",en
1.41995278530337E+018,अमित शाह के आवास पर विरोध प्रदर्शन करने वाले अनिल चौधरी और कांग्रेस कार्यकर्ताओं को दिल्ली पुलिस ने हिरासत में ले लिया है।  https://t.co/4fWEFzf98p  #AmitShah #Congress #PegasusProject #PegasusSnoopgate #PegasusSpyware #BJP  https://t.co/63f38CT2TW,hi
1.41852126297695E+018,"इंटेलिजेंस के कई अधिकारी मुझसे कह चुके हैं कि सर आपका फोन टैप किया जा रहा है। मेरे दोस्तों को फोन करके कहा जाता है कि आप राहुल गांधी से कह दीजिए कि उन्होंने फोन पर ये बात कही थी, लेकिन मैं डरता नहीं हूं और इससे मुझे कोई फर्क नहीं पड़ता। - श्री @RahulGandhi  #PegasusSnoopgate  https://t.co/G5sfSQwsEt",hi
1.41755087545161E+018,"• The South African president, Cyril Ramaphosa, who appears to have been selected by Rwanda in 2019. • Emmanuel Macron, the French president, who appears to have been selected as a person of interest by Morocco in 2019. An Élysée official said: #PegasusSnoopgate",en
1.41844748355067E+018,@65thakursahab Try to watch Rahul Gandhi's interaction on #PegasusSnoopgate in its entirety. Don't just read headlines and reports but watch.   Cc @rupagulab,en
1.42057926237384E+018,चाय के नाम पर वोट देने वाली जनता को चाय की दूकान ही संसद लगती है... संसद के बाद ये चर्चा हर दूकान पर होनी चाहिए... #PegasusSnoopgate  https://t.co/5yjXz1VwSn,hi
1.41779397973575E+018,"#India : #NarendraModi faces heat following revelations of snooping critics, opposition and journalists  #PegasusProject #PegasusSnoopgate #PegasusSpyware #Pegasus  https://t.co/EbQ514Xtr1",en
1.42146891484473E+018,"The government is reading your :  WhatsApp  SMS Seeing your videos and pictures  Email Medical records Your payment history  Contacts   #PegasusSnoopgate is not just about politicians, journalists and activists, it’s about us.   Think ?",en
1.41861753318836E+018,"@RahulGandhi अपने देश से ही जासूसी करना देशभक्ति की बात नहीं, ये तो फिर देशद्रोह हुआ। आखिर ये किस तरह का राष्ट्रवाद है जहां राष्ट्र तो है ही नहीं सिर्फ वाद और विवाद है। #PegasusSnoopgate",hi
1.41734824427162E+018,"यही वह व्यक्ति #RanjanGogoi है। जिसने कई बर्षों तक एक महिला का यौन उत्पीड़न किया। जिसका सम्मान #भारतीय_जासूस_पार्टी और प्रधानमंत्री नरेन्द्र मोदी कर रहे। छी छी छी, #PegasusProject #PegasusSnoopgate",hi
1.41957529563231E+018,"This is what makes @MamataOfficial stand out tall among the opposition leaders... by doing so, she empowered the state investigating agency to get to the root of #PegasusSnoopgate—#Israel.  #PegasusProject #pegasus",en
1.42428695253936E+018,"@Conphucious1 @minicnair @derekobrienmp Healthy means what ?   Can they answer the simple question about #PegasusSnoopgate  &amp; pushing bills thru without ref to select committee ? TMC needs no lesson in Democracy, Modi's BJP does, Vajpayee's BJP was different......",en
1.41849147294538E+018,@ayushyagupta @Full__Metall @simply__monty @KimZetter @RahulGandhi @Twitter @citizenlab @WhatsApp Now even Israel is to launch a probe against NSO Group but for some mysterious reason government of India won't. Certainly not by their own will.  That's why #PegasusSnoopgate needs to be investigated by JPC.  https://t.co/rmtMh6ikBK,en
1.41712128159019E+018,@rsprasad #PegasusSnoopgate के जरिये मोदीसरकार  देश की बहुबेटीयों को निकर ओर ब्रा में देखकर संतुष्ट प्राप्त करना चाहती है..?,hi
1.41992009191157E+018,"BSF, Army &amp; RAW officials spied on through #PegasusSnoopgate.  What kind of nationalism is this? The fake kind.  #भाजपा_है_तो_खतरा_है  https://t.co/2ZodN5Bd8M",en
1.41819364616834E+018,क्या यह जानना ज़रूरी नहीं है कि पेगासस का इस्तेमाल कौन कर रहा है? -  #Pegasus #PegasusSnoopgate #PegasusProject  https://t.co/YDENY1iC2T via,hi
1.41724588760099E+018,How is this fool PA Krishnan aka Pakshi a journalist? Lacks any basic understanding of a simple statement. @GunasekaranMu ripped him a new one there. 🔥🔥 #SunNews #KelviKalam  #PegasusSnoopgate #BharatiyaJasoosParty,en
1.41712989839776E+018,"""நாடாளுமன்றத்தின் மழைகால கூட்டத்திற்கு ஒரு நாள் முன்னதாக ஊடக அறிக்கைகள் வெளியிடப்பட்டிருப்பது தற்செயல்.. #PegasusSnoopgate #AshwiniVaishnaw   https://t.co/w0FQ0XOxAX",ta
1.41846740818931E+018,"Our Fellow, @MiklosHaraszti finds the #PegasusSnoopgate in #Hungary 🇭🇺 comparable to old Communist #surveillance practices. Read his interview in Hungarian in @nepszava or an English summary on our website. 👉 https://t.co/6sevQFypqM  #Pegasus #PegasusProject  https://t.co/pfublOZPVK",en
1.41818870879729E+018,"जासूसी पर राज्यसभा में हंगामा: मंत्री वैष्णव के बयान के वक्त बवाल, तृणमूल सदस्यों ने पन्ने छीनकर फाड़े #news #trending #blogger #case #casestudy #एकतंत्र #world #india #delhi #BJP #PegasusSnoopgate #BREAKING #TMC #vaishnav  https://t.co/VLb1Plg6FC",hi
1.4171296348486E+018,Yes....Again we are seeing the real face of BJP and Modi Government.  The Government spying on their own citizen.... Shame  Modi proved again that he has no Spine.  #BJPExposedAgain #PegasusSnoopgate  #PegasusProject  #PegasusSpyware  #PegasusSnoopingScandal   #umr  https://t.co/wxbwg7CJTM,en
1.41782099268505E+018,नहीं यहाँ तो सरकार ही एक PR Agency बन कर रह गई है वह भी एक सरफिरे शक्स के लिए जो एक megalomaniac और Psychopath है।  #BanEVM #Pegasus #PegasusProject #PegasusSnoopgate,hi
1.41883876085542E+018,इन सभी लोगों खिलाफ़ मोदी सरकार इस्तेमाल करती है #PegasusSnoopgate #Pegasus #PegasusProject #PegasusSpyware #PegasusPropaganda #PegasusSnooping #india #Modi #ModiSarkar #spyware #spying #spying #judges #reporter #CBI #use #Terrorists #aginst #BJP_हटाओ_देश_बचायो #bjpwestup  https://t.co/ewRJbAvoWu,hi
1.42090278648548E+018,"Neither @amnety @AmnestyTech @thewire_in  (who is chruning out Op-Ed from random wannabes over #PegasusSnoopgate ) or mr Tharoor has explained one fundamental question: Where did they acquire list from when only 22 devices were investigated? Who came up with ""Potential Target""?",en
1.41708616655422E+018,2019 का चुनाव ही वॉटरगेट की तरह फेक चुनाव था. #PegasusSnoopgate,hi
1.42161880417026E+018,#PegasusSnoopgate ஒட்டு கேட்பு விவகாரத்தால் நடவடிக்கை பெகாசஸ் மென்பொருளை பயன்படுத்த பல்வேறு நாடுகளுக்கு என்எஸ்ஓ தடை: 40 நாடுகளை சேர்ந்த 60 அமைப்புகள் பயன்படுத்துகின்றன    https://t.co/faoq0dD3B1,ta
1.41710615546214E+018,"Forget  'Ok Google' 'Hey Siri' or 'Alexa' Just say, 'Modi' &amp; your government will have its ears👂 ON via your phone! #DigitalIndia #cybersecurity #Pegasus  #PegasusSnoopgate  #PegasusSpyware  #PegasusProject",en
1.41807364510924E+018,The vendor is defending a major client. Maybe the client paid a premium to keep the vendor zipped up. Maybe..maybe...🤔🤔 #PegasusSnoopgate,en
1.41694931900593E+018,"""Pegasus should deserve a chance. Let's give it once.""  Expecting this statement from @RajatSharmaLive   #PegasusSnoopgate",en
1.41850010452528E+018,PM मोदी आणि अमित शहांनी आमच्याविरूद्ध  पेगॅसेसचा वापर एक राजकीय शस्त्र म्हणून केल्याचा आरोप करण्यात आला आहे.  #PMModi #AmitShah #Congress #RahulGandhi #PegasusSnoopgate   https://t.co/Xk7vEmdcCI,mr
1.41805585097585E+018,3 days of relentless front page coverage of #PegasusSnoopgate   @DainikBhaskar pays the price of practicing journalism in #NewIndia,en
1.41861695235274E+018,@sunil_patliya @lizannemayers @DalaiLama #ModiSarkarVsIndia #joibhim #BJPExposedAgain #PegasusSnoopgate #PegasusProject   Mereko jada English nhi aati  Bangla or hindi,in
1.41746926189999E+018,@AstroD98102126 @Sunilsh32640883 @_Mahakal_D_ @Meeeramehta3 @Lallanpandey11 @hisamuddink51 @RuhulHashmat @Sony24858301 @bhootsanjay1 @thunder_beast__ #PegasusSnoopgate,und
1.42146676419026E+018,"The government is reading your :  WhatsApp  SMS Seeing your videos and pictures  Email Medical records Your payment history  Contacts   #PegasusSnoopgate is not just about politicians, journalists and activists, it’s about you.   Think ?",en
1.4211565807E+018,"अब भी मौका है,झोला उठाकर निकल लो साहब ! नहीं तो बहुत दुर्गति होने वाली है.. #PegasusSnoopgate #RafaleScam",hi
1.4253543738912E+018,"விவாதம் பண்ணுங்கடா சங்கிங்களா... எது ஒன்றையும் விவாதம் பணணா தான் அதுக்கு பேரு மன்றம், நீங்க பேசுறத மத்தவங்க கேட்டுகிட்டா அதுக்கு பேரு மன்றமாடா மாக்கானுங்களா.... #PegasusSnoopgate",ta
1.41843561417365E+018,"Congress MPs, including leader of Lok Sabha @adhirrcinc and Rajya Sabha Mallikarjun Kharge, protesting at Parliament over the #PegasusSnoopgate allegations.  @INCIndia #pegasus  https://t.co/O0REvmnX82",en
1.4171542003503E+018,"What is the name of the book PM will write in future? Ans: Dhokla, Khakhra, Fafda, Spy  😂😂 #Pegasus #PegasusSnoopgate",en
1.41750309318132E+018,"समाज का नुकसान बुरे लोगों से नहीं, बल्कि अच्छे लोगों के चुप रहने से होता है! #अबकी_बार_जासूस_सरकार #BhartiyaJasoosParty #PegasusSnoopingScandal #PegasusSpyware #Pegasusgate #PegasusSnoopgate #Peagasus #PegasusSpying #ResignPRimeMinister #phonetapping #tuesdaymotivations #COVID19",hi
1.41751129554951E+018,"Raj Kundra's manager says, government used Pegasus malware to hack into their business details which were otherwise protected all these years. #RajKundra #RajKundraArrest #PegasusProject #PegasusSnoopgate  https://t.co/m2a0Jb3Yjw",en
1.41751606784538E+018,"#अबकी_बार_जासूस_सरकार #aajtak #PegasusProject #PegasusSnoopgate  100 sawaal lekin bus1 jawaab  Bharat ki pragati, samprabhuta or akhandta ke khilaaf saazish  Koi batao kar kaun raha hai...  Sambit ka radar to congress ke aas paas hi jam ho jaata hai😁",hi
1.41732858979237E+018,Aree Hme pata bhi nahi chala aur desh  Mein live  jagga jassos chll rahi thi 🤐. #PegasusSnoopgate #Pegasus,hi
1.41730341635159E+018,"Sir, a JPC is must into these allegations. लेकिन आपके इस ट्वीट के बाद भी कांग्रेस आपके मांगों को लटकाये रखेगी, और राहुल गांधी जी गहलोत जी के साथ चाय पीने चले जायेंगे। #PegasusProject  #PegasusSnoopgate  #Rajasthan",hi
1.41735031391735E+018,"The international ""The Guardian"" vs The UP based ""The Daily Guardian"" #PegasusSnoopgate  https://t.co/BOH7iDJGyj",en
1.4171185906003E+018,Aaj pata chala ki yeh toh keval naam se snoop dogg hain.  Kaam se snoop dogg koun hai woh toh aap jaante hi hain.  #PegasusSnoopgate  #PegasusSnoopingScandal  https://t.co/AKLNx8rt85,hi
1.41705406274742E+018,"Old habits die hard.  स्वतंत्रता आंदोलन में अंग्रेजों के लिए जासूसी की. गुजरात में रहते हुए भी जासूसी की और अब देश के पत्रकारों, जजों, नेताओं की जासूसी . B-भारतीय J-जासूस P-पार्टी. #PegasusSnoopgate @RahulGandhi @ShuklaRajiv @SanjaySDutt @INCIndia @KSRathoreINC @MahilaCongress",hi
1.42061895226737E+018,"PM Modi has a history of stalking from his CM days. He had involved the state ATS to stalk a young woman. Now when he the PM, he has been found stalking the people. #PegasusSnoopgate It is a case of treason. We demand enquiry judicial inquiry!  #बिहार_विधानसभा_घेराव",en
1.41748168899365E+018,"AAP MP @SanjayAzadSln attacks Modi Govt on #PegasusSnoopgate Scandal‼️  ""मुझे उस समय भी हैरानी हुई थी कैसे CJI ने Rafale मामले में Clean Chit दे दी।  अब पूरे मामले की Chronology समझ में आ रही है!""  https://t.co/uEl8fAPIdN  Follow @gulati_lavi All AAP Update",und
1.41858395961769E+018,"मैं जनता की आवाज उठाता हूं, ये जनता की आवाज पर आक्रमण है। सुप्रीम कोर्ट पर पेगासस का प्रयोग किया गया, राफेल की इंवेस्टिगेशन रोकने के लिए प्रयोग किया गया। नरेंद्र मोदी जी ने इस हथियार को हमारे देश के खिलाफ यूज किया है -: श्री @RahulGandhi जी  #PegasusSnoopgate  https://t.co/DBEMZ5ZeSp",hi
1.42315810323984E+018,Bench to M.L Sharma: let Mr. Sibal who is the senior counsel argue the matter. we will hear you after him #PegasusSnoopgate #SupremeCourt,en
1.41818886565171E+018,#Pegasus #spyware seller: Blame our customers not us for hacking!   https://t.co/deb5UqD0id  #NSO #PegasusSnoopgate #infosec #security #cybersecurity #databreach #dataprotection #cyberattack #cybercrime #datatheft #dataprivacy #hacker #malware #DDoS #CISO #ransomware #technology,en
1.41739641040048E+018,उम्र सय्याद की गुज़री इसी जासूसी में गुल को नामा न करे मुर्ग़-ए-गिरफ़्तार-ए-रवाँ  #PegasusSnoopgate,hi
1.41927482681286E+018,#पप्पू भी समय समय पर अपनी हरकतों से ये साबित कर देता है की उससे अच्छा #पप्पू अभी तक न हुआ है और न होगा.....आप सभी इसकी बचकानी हरकतों का लुफ्त उठाते रहिये🤣🤣 #Pegasus  #PegasusProject  #PegasusSnoopgate,hi
1.41818542103752E+018,@Jaeya_Mishr @INCIndia @INCBihar @DrMadanMohanJha @AICCMedia @SujataIndia1st @PraveenDavar @IYC_Samastipur @GauravPandhi @Rajkuma72674455 @sherryontopp @anupamsharma654 @MohanPrakashINC @kcmonujha अबकी बार तांक झांक सरकार  #PegasusSnoopgate,hi
1.41841214757539E+018,What’s in a name? It could be reason for brisk downloads #PegasusSnoopgate   https://t.co/5XOCzemY2v,en
1.41737141739016E+018,@rsprasad You are basically the most irritating person around 🙄 Wire tapping phones is not just a crime it is question of Privacy &amp; integrity. But these words mean nothing to BJP 🙄 Stop using ED &amp; IT just before elections if you want to sound Credible on such issues. #PegasusSnoopgate,en
1.41707020539877E+018,@rohini_sgh Congratulations for getting certified from Modi govt that U are doing great job!! Keep continue!! #PegasusSnoopgate,en
1.41849956147189E+018,"जिसे इतने लोगों के फोन सुननें हों, मोबाइल की तस्वीरें देखनी हों और लोकेशन जाननी हो तो 18 घंटे लग ही जायेंगे.  मेहनत में कोई कमी हो तो बताइये.  #PegasusProject #PegasusSnoopgate",hi
1.41731753099822E+018,"@minicnair @MrsGandhi Footnote to her tweet ""Marked safe from #PegasusSnoopgate """,en
